IPK,Sertifikasi,Sertifikasi Professional,Prestasi Nasional,Kompetisi Top 3 Nasional,Prestasi Internasional,Kompetisi Top 3 Internasional,Intern,Volunteer,Nilai Bobot
3.7,3,0,0,0,0,0,5,22,0.07103705752
3.83,0,0,2,3,0,0,3,14,0.08018559707
3.88,2,0,2,2,1,3,0,25,0.3033114288
3.69,0,0,2,1,1,2,0,31,0.2290807956
3.8,0,0,2,1,0,0,12,26,0.1023146795
3.82,2,0,0,0,0,0,0,36,0.09967496075
3.74,9,0,5,10,3,1,7,11,0.3222891436
3.95,0,0,0,0,0,0,17,11,0.09525976639
3.78,2,2,5,3,0,0,23,22,0.1670121786
3.53,11,0,1,0,0,0,4,29,0.1094419942
3.9,11,2,0,0,0,0,11,24,0.1228734748
3.74,1,2,2,3,0,0,9,20,0.1119546154
3.62,13,0,1,0,0,0,9,31,0.1276563263
3.89,14,0,2,4,0,0,9,36,0.16310166
3.69,4,1,1,1,0,0,5,34,0.1077414157
3.9,2,3,0,0,0,0,16,16,0.1196502407
3.87,0,0,0,0,0,0,12,26,0.09636183865
3.73,2,0,0,0,0,0,2,16,0.04953861675
3.85,0,0,2,1,0,0,20,8,0.1125261714
3.8,6,0,0,2,0,0,12,21,0.1044303067
3.78,0,0,0,0,0,0,7,12,0.05201042409
3.8,3,1,0,0,0,0,2,7,0.04005069702
3.74,2,0,5,1,0,0,11,1,0.08967369665
3.91,0,0,0,0,0,0,21,0,0.1092535579
3.8,32,0,0,0,1,0,7,25,0.2129998673
3.83,0,0,0,0,0,0,7,12,0.05207420282
3.76,0,0,0,0,0,0,3,11,0.03655242081
3.84,0,0,0,0,0,0,2,30,0.08436796262
3.87,1,0,0,0,3,5,0,25,0.4456027115
3.91,0,0,3,1,0,0,5,13,0.06407220803
3.88,3,0,3,0,2,0,8,11,0.1551172866
3.88,1,0,0,0,0,0,11,11,0.0680736523
3.83,0,1,2,1,0,0,12,20,0.09548686589
3.77,0,0,0,0,0,0,11,16,0.07480003947
3.82,0,1,0,0,0,0,2,25,0.07562848414
3.86,3,4,0,0,0,0,2,24,0.1169540679
3.81,0,1,4,3,0,0,14,26,0.1328411121
3.67,0,0,0,0,0,0,0,26,0.07305789998
3.66,0,0,1,0,0,0,0,53,0.1398590433
3.68,0,0,0,0,0,0,0,16,0.04624901781
3.9,1,0,0,0,0,0,7,14,0.05642686914
3.6,0,1,0,0,0,0,0,26,0.07705816973
3.78,0,0,0,0,0,0,43,20,0.2082541138
3.93,0,0,0,0,0,0,2,33,0.09201532704
3.72,0,0,0,0,0,0,21,28,0.1316009693
3.91,0,1,3,1,0,0,2,55,0.1537817778
3.48,0,1,0,0,0,0,27,55,0.1933471381
